CustomerKey,CustomerCode,FirstName,LastName,FullName,Gender,BirthDate,JoinDate,CustomerSegment,GeographyKey,EmailHighCardinality,IsNewsletterSubscriber
1,C000001,Adam,Jansen,Adam Jansen,M,1971-01-25,2021-04-05,Consumer,26,adam.jansen.1@example.com,False
2,C000002,Ola,Nowak,Ola Nowak,M,1978-07-13,2022-05-20,Consumer,22,ola.nowak.2@example.com,True
3,C000003,Hugo,Klein,Hugo Klein,F,1988-05-26,2024-02-25,Consumer,32,hugo.klein.3@example.com,False
4,C000004,Adam,Rossi,Adam Rossi,M,1975-02-03,2022-09-28,Consumer,12,adam.rossi.4@example.com,False
5,C000005,Kasia,Garcia,Kasia Garcia,Unknown,1983-01-24,2021-07-17,VIP,11,kasia.garcia.5@example.com,True
6,C000006,Marta,Brown,Marta Brown,F,1995-07-12,2021-06-17,Consumer,4,marta.brown.6@example.com,False
7,C000007,Jan,Smith,Jan Smith,M,1959-04-25,2022-04-01,Consumer,29,jan.smith.7@example.com,False
8,C000008,Kasia,Garcia,Kasia Garcia,F,1978-08-25,2025-01-02,Consumer,10,kasia.garcia.8@example.com,True
9,C000009,Noah,Nowak,Noah Nowak,M,1956-12-06,2023-07-04,Small Business,18,noah.nowak.9@example.com,True
10,C000010,Kasia,Muller,Kasia Muller,F,1994-05-23,2021-09-30,Consumer,17,kasia.muller.10@example.com,True
11,C000011,Kasia,Nowak,Kasia Nowak,Unknown,1998-06-22,2021-05-23,Consumer,12,kasia.nowak.11@example.com,False
12,C000012,Lukas,Wojcik,Lukas Wojcik,F,1978-09-08,2022-10-15,Consumer,11,lukas.wojcik.12@example.com,False
13,C000013,Adam,Nilsson,Adam Nilsson,Unknown,1978-08-26,2021-03-08,Small Business,24,adam.nilsson.13@example.com,True
14,C000014,Marek,Novak,Marek Novak,F,1981-07-27,2020-10-21,VIP,26,marek.novak.14@example.com,False
15,C000015,Kasia,Brown,Kasia Brown,Unknown,1988-06-05,2022-08-19,Corporate,29,kasia.brown.15@example.com,False
16,C000016,Tomas,Novak,Tomas Novak,F,1958-02-17,2023-04-12,Consumer,9,tomas.novak.16@example.com,False
17,C000017,Hugo,Novak,Hugo Novak,M,1973-02-09,2024-07-16,Consumer,15,hugo.novak.17@example.com,True
18,C000018,Marta,Novak,Marta Novak,F,1996-03-19,2021-03-28,Corporate,35,marta.novak.18@example.com,False
19,C000019,Lena,Kowalski,Lena Kowalski,M,1956-02-02,2023-06-10,Corporate,22,lena.kowalski.19@example.com,False
20,C000020,Filip,Brown,Filip Brown,Unknown,1956-08-21,2022-02-05,VIP,27,filip.brown.20@example.com,False
21,C000021,Marco,Jansen,Marco Jansen,M,1959-12-02,2024-01-10,Consumer,26,marco.jansen.21@example.com,True
22,C000022,Lucia,Lewandowski,Lucia Lewandowski,M,2000-06-24,2021-07-11,Consumer,10,lucia.lewandowski.22@example.com,True
23,C000023,Lucia,Muller,Lucia Muller,F,1984-02-09,2022-02-17,Consumer,7,lucia.muller.23@example.com,True
24,C000024,Filip,Dubois,Filip Dubois,Unknown,1970-03-27,2024-04-28,Consumer,25,filip.dubois.24@example.com,False
25,C000025,Julia,Jansen,Julia Jansen,M,1986-05-16,2022-06-11,Consumer,32,julia.jansen.25@example.com,False
26,C000026,Lena,Garcia,Lena Garcia,M,1958-01-10,2023-04-03,Consumer,14,lena.garcia.26@example.com,False
27,C000027,Sofia,Klein,Sofia Klein,M,1971-12-12,2022-02-13,Consumer,28,sofia.klein.27@example.com,True
28,C000028,Hugo,Novak,Hugo Novak,Unknown,1973-02-13,2023-02-11,Consumer,13,hugo.novak.28@example.com,False
29,C000029,Sofia,Nowak,Sofia Nowak,M,1980-06-26,2024-03-06,Corporate,8,sofia.nowak.29@example.com,True
30,C000030,Eva,Novak,Eva Novak,M,1957-01-02,2023-06-27,Consumer,33,eva.novak.30@example.com,True
31,C000031,Sofia,Garcia,Sofia Garcia,Unknown,1994-06-06,2022-07-30,Consumer,33,sofia.garcia.31@example.com,False
32,C000032,Marek,Martin,Marek Martin,M,1991-05-16,2019-10-23,Consumer,35,marek.martin.32@example.com,True
33,C000033,Lena,Rossi,Lena Rossi,M,2001-12-21,2024-08-02,VIP,27,lena.rossi.33@example.com,False
34,C000034,Jan,Nilsson,Jan Nilsson,F,1985-03-17,2022-05-15,Small Business,15,jan.nilsson.34@example.com,True
35,C000035,Emma,Kowalski,Emma Kowalski,Unknown,1983-06-14,2023-11-22,Consumer,8,emma.kowalski.35@example.com,False
